단어(0) : 		품사 :  SW 
단어(301) : 그러므로		품사 : MAJ 
단어(302) : 사건		품사 : NNG 
단어(303) : 인쇄술		품사 : NNG 
단어(304) : 구멍치기		품사 : NNG 
단어(305) : 들이키		품사 : VV 
단어(306) : 동맹		품사 : NNG 
단어(307) : 도버		품사 : NNP 
단어(308) : 데우		품사 : VV 
단어(309) : 알코올		품사 : NNG 
단어(310) : 미비		품사 : NNG 
단어(311) : 칼싸움		품사 : NNG 
단어(312) : 트러스트		품사 : NNP 
단어(313) : 新羅朝服尙白		품사 : SH 
단어(314) : 꽈자		품사 : NNG 
단어(315) : 전주		품사 : NNP 
단어(316) : 遲進兒		품사 : SH 
단어(317) : 사격		품사 : NNG 
단어(318) : 벌겋		품사 : VA 
단어(319) : 당하		품사 : VV XSV VA 
단어(320) : 종류		품사 : NNG 
단어(321) : 도변		품사 : NNP 
단어(322) : 간과		품사 : NNG 
단어(323) : 스티커		품사 : NNG 
단어(324) : 천명		품사 : NNG 
단어(325) : 暴力的		품사 : SH 
단어(326) : 한상범		품사 : NNP 
단어(327) : 가구		품사 : NNG 
단어(328) : 달팽이		품사 : NNG 
단어(329) : 全人恒		품사 : SH 
단어(330) : 쌀가게		품사 : NNG 
단어(331) : 던지		품사 : VV EC 
단어(332) : 寶庫		품사 : SH 
단어(333) : 사계		품사 : NNG 
단어(334) : com		품사 : SL 
단어(335) : 문헌		품사 : NNG 
단어(336) : 현석문		품사 : NNP 
단어(337) : 일공론		품사 : NNG 
단어(338) : 박태균		품사 : NNP 
단어(339) : 반목		품사 : NNG 
단어(340) : 접바둑		품사 : NNG 
단어(341) : 핑계		품사 : NNG 
단어(342) : 사경		품사 : NNG 
단어(343) : 그런대로		품사 : MAG 
단어(344) : 논농사		품사 : NNG 
단어(345) : 군단장		품사 : NNG 
단어(346) : 고속버스		품사 : NNG 
단어(347) : 장풍		품사 : NNG 
단어(348) : 당선자		품사 : NNG 
단어(349) : 당선작		품사 : NNG 
단어(350) : 이파리		품사 : NNG 
단어(351) : 무호		품사 : NNP 
단어(352) : 모토롤라		품사 : NNP 
단어(353) : 재편		품사 : NNG 
단어(354) : 정위		품사 : NNG 
단어(355) : 점자		품사 : NNG 
단어(356) : 각국		품사 : NNG 
단어(357) : 촉구		품사 : NNG 
단어(358) : 王莽		품사 : SH 
단어(359) : 구조물		품사 : NNG 
단어(360) : 점잖		품사 : VA 
단어(361) : 제왕		품사 : NNG 
단어(362) : 지곡리		품사 : NNP 
단어(363) : 가만히		품사 : MAG 
단어(364) : 홀브룩		품사 : NNP 
단어(365) : 여행객		품사 : NNG 
단어(366) : 블라니크		품사 : NNP 
단어(367) : 주변국		품사 : NNG 
단어(368) : 진나라		품사 : NNP 
단어(369) : 강동석		품사 : NNP 
단어(370) : 도보		품사 : NNG 
단어(371) : 하강		품사 : NNG 
단어(372) : 시간대		품사 : NNG 
단어(373) : 진형구		품사 : NNP 
단어(374) : 사고		품사 : NNG 
단어(375) : 스튜디오		품사 : NNG 
단어(376) : 급부상		품사 : NNG 
단어(377) : 묵호		품사 : NNP 
단어(378) : 정육		품사 : NNG 
단어(379) : 매듭짓		품사 : VV 
단어(380) : 바탕골소극장		품사 : NNP 
단어(381) : 허덕이		품사 : VV 
단어(382) : 고사리		품사 : NNG 
단어(383) : 앞뒷문		품사 : NNG 
단어(384) : 제외		품사 : NNG 
단어(385) : 돌발		품사 : NNG 
단어(386) : 사과		품사 : NNG 
단어(387) : 공연장		품사 : NNG 
단어(388) : 하여간		품사 : MAG 
단어(389) : 사관		품사 : NNG 
단어(390) : 차주		품사 : NNG 
단어(391) : 청룡		품사 : NNG 
단어(392) : 끌어안		품사 : VV 
단어(393) : 문협		품사 : NNG 
단어(394) : 호기심		품사 : NNG 
단어(395) : 효소왕		품사 : NNP 
단어(396) : 덮이		품사 : VV 
단어(397) : 족발		품사 : NNG 
단어(398) : 갈수록		품사 : MAG 
단어(399) : 배럴		품사 : NNB 
단어(400) : 숙련노동		품사 : NNG 
단어(401) : 클라인		품사 : NNP 
단어(402) : 紅帽		품사 : SH 
단어(403) : 저지		품사 : NNG 
단어(404) : 간교		품사 : NNG 
단어(405) : 독보		품사 : NNG 
단어(406) : 박태권		품사 : NNP 
단어(407) : 社會安定		품사 : SH 
단어(408) : 찬조		품사 : NNG 
단어(409) : 문혁		품사 : NNG 
단어(410) : 하객		품사 : NNG 
단어(411) : 덮장		품사 : NNG 
단어(412) : 돌연변이		품사 : NNG 
단어(413) : 배려		품사 : NNG 
단어(414) : 무효		품사 : NNG 
단어(415) : 감각		품사 : NNG 
단어(416) : 산견		품사 : NNG 
단어(417) : 출세욕		품사 : NNG 
단어(418) : 사주단자		품사 : NNG 
단어(419) : 보부상		품사 : NNG 
단어(420) : 체력		품사 : NNG 
단어(421) : 닫히		품사 : VV 
단어(422) : 래요		품사 : EF 
단어(423) : 일부러		품사 : MAG 
단어(424) : 여동생		품사 : NNG 
단어(425) : 서울법대		품사 : NNP 
단어(426) : 종말		품사 : NNG 
단어(427) : 담화		품사 : NNG 
단어(428) : 그다지		품사 : MAG 
단어(429) : 정의		품사 : NNG 
단어(430) : 적진		품사 : NNG 
단어(431) : 꿀리		품사 : VV 
단어(432) : 사광		품사 : NNG 
단어(433) : 정자		품사 : NNG 
단어(434) : 김근태		품사 : NNP 
단어(435) : 정작		품사 : NNG 
단어(436) : 管見		품사 : SH 
단어(437) : 천문		품사 : NNG 
단어(438) : 與		품사 : SH 
단어(439) : 경복궁		품사 : NNP 
단어(440) : 문화		품사 : NNG 
단어(441) : 기준일		품사 : NNG 
단어(442) : 쳐들		품사 : VV 
단어(443) : 꿀맛		품사 : NNG 
단어(444) : 화장실		품사 : NNG 
단어(445) : 主武器		품사 : SH 
단어(446) : 少尉		품사 : SH 
단어(447) : 문호		품사 : NNG 
단어(448) : 점점		품사 : MAG 
단어(449) : 대가리		품사 : NNG 
단어(450) : 발목		품사 : NNG 
단어(451) : 정인		품사 : NNP 
단어(452) : 두드리		품사 : VV 
단어(453) : 그랜드		품사 : NNG 
단어(454) : 갈릴리		품사 : NNP 
단어(455) : 방치기		품사 : NNG 
단어(456) : 정일		품사 : NNG 
단어(457) : 강줄기		품사 : NNG 
단어(458) : 산골		품사 : NNG 
단어(459) : 족벌		품사 : NNG 
단어(460) : 협의장		품사 : NNG 
단어(461) : 한강		품사 : NNP 
단어(462) : 밑밥		품사 : NNG 
단어(463) : 전직		품사 : NNG 
단어(464) : 전지		품사 : NNG 
단어(465) : 동소고의		품사 : NNG 
단어(466) : 티베트		품사 : NNP 
단어(467) : 비즈니스		품사 : NNG 
단어(468) : 왕제산		품사 : NNP 
단어(469) : 정장		품사 : NNG 
단어(470) : 창원		품사 : NNP 
단어(471) : 대피		품사 : NNG 
단어(472) : 읍니다		품사 : EF EC 
단어(473) : 한갓		품사 : MAG 
단어(474) : 정재		품사 : NNP 
단어(475) : 여보세요		품사 : IC 
단어(476) : 초기		품사 : NNG 
단어(477) : 두건		품사 : NNG 
단어(478) : 반문		품사 : NNG 
단어(479) : 꼼짝		품사 : MAG 
단어(480) : 못생기		품사 : VA 
단어(481) : 사교		품사 : NNG 
단어(482) : 각급		품사 : NNG 
단어(483) : 도망가		품사 : VV 
단어(484) : 한가		품사 : XR 
단어(485) : 참작		품사 : NNG 
단어(486) : 풍악		품사 : NNG 
단어(487) : 크악		품사 : MAG 
단어(488) : 가깝		품사 : VA 
단어(489) : 방어망		품사 : NNG 
단어(490) : 대한		품사 : NNG 
단어(491) : 오디오		품사 : NNG 
단어(492) : 장하		품사 : VA 
단어(493) : 三輪		품사 : SH 
단어(494) : Repression		품사 : SL 
단어(495) : 감성돔		품사 : NNG 
단어(496) : 대하		품사 : VV NNG 
단어(497) : 程子冠		품사 : SH 
단어(498) : 대학		품사 : NNG 
단어(499) : 뽑히		품사 : VV 
단어(500) : 휘둘리		품사 : VV 
단어(501) : 전집		품사 : NNG 
단어(502) : 정쟁		품사 : NNG 
단어(503) : 크롬웰		품사 : NNP 
단어(504) : 방류		품사 : NNG 
단어(505) : 사구		품사 : NNG 
단어(506) : 유럽연합		품사 : NNP 
단어(507) : 전진		품사 : NNG 
단어(508) : 각기		품사 : MAG 
단어(509) : 장난감		품사 : NNG 
단어(510) : 둘러보		품사 : VV 
단어(511) : 해피엔딩		품사 : NNG 
단어(512) : 간극		품사 : NNG 
단어(513) : 祭主		품사 : SH 
단어(514) : 돌변		품사 : NNG 
단어(515) : 具由告官		품사 : SH 
단어(516) : 여객기		품사 : NNG 
단어(517) : 現實的		품사 : SH 
단어(518) : languages		품사 : SL 
단어(519) : 타이르		품사 : VV 
단어(520) : 기본법		품사 : NNG 
단어(521) : 한강환경관리청		품사 : NNG 
단어(522) : 동무		품사 : NNG 
단어(523) : 황상진		품사 : NNP 
단어(524) : 장항		품사 : NNP 
단어(525) : 伯母		품사 : SH 
단어(526) : 당혹		품사 : NNG 
단어(527) : 하계		품사 : NNG 
단어(528) : 代替案		품사 : SH 
단어(529) : 대항		품사 : NNG 
단어(530) : 소작인		품사 : NNG 
단어(531) : 사회주의자		품사 : NNG 
단어(532) : 차지		품사 : NNG 
단어(533) : 정점		품사 : NNG 
단어(534) : 내세우		품사 : VV 
단어(535) : 중앙공원		품사 : NNP 
단어(536) : 청리		품사 : NNP 
단어(537) : 당황		품사 : NNG 
단어(538) : 처방		품사 : NNG 
단어(539) : 정절		품사 : NNG 
단어(540) : 사귀		품사 : VV 
단어(541) : 감격		품사 : NNG 
단어(542) : 주갑		품사 : NNG 
단어(543) : 발묵		품사 : NNG 
단어(544) : 학계		품사 : NNG 
단어(545) : 주간		품사 : NNG 
단어(546) : 몰아치		품사 : VV 
단어(547) : 하고		품사 : JKB JC JKQ 
단어(548) : 정저		품사 : NNG 
단어(549) : 李寬姬		품사 : SH 
단어(550) : 동물		품사 : NNG 
단어(551) : 정적		품사 : NNG 
단어(552) : 쇼비니즘		품사 : NNG 
단어(553) : 선택법		품사 : NNG 
단어(554) : 합목적		품사 : NNG 
단어(555) : 川南里		품사 : SH 
단어(556) : 까무잡잡		품사 : XR 
단어(557) : 써클룸		품사 : NNG 
단어(558) : 신문지		품사 : NNG 
단어(559) : 문후		품사 : NNP 
단어(560) : 주가		품사 : NNG 
단어(561) : 총각		품사 : NNG 
단어(562) : 강가		품사 : NNG 
단어(563) : 대행		품사 : NNG 
단어(564) : 찻잔		품사 : NNG 
단어(565) : 이태리어		품사 : NNP 
단어(566) : 이회창		품사 : NNP 
단어(567) : 창의		품사 : NNG 
단어(568) : 육덕이		품사 : NNP 
단어(569) : 저쪽		품사 : NP 
단어(570) : 제의		품사 : NNG 
단어(571) : 과거사		품사 : NNG 
단어(572) : 대사례		품사 : NNG 
단어(573) : 主要		품사 : SH 
단어(574) : 엄밀히		품사 : MAG 
단어(575) : 푸젠		품사 : NNP 
단어(576) : 돌아가		품사 : VV 
단어(577) : 대향		품사 : NNG 
단어(578) : 생산국		품사 : NNG 
단어(579) : 들락날락		품사 : MAG 
단어(580) : 차질		품사 : NNG 
단어(581) : 족보		품사 : NNG 
단어(582) : 治山治水		품사 : SH 
단어(583) : 돌보		품사 : VV 
단어(584) : 정제		품사 : NNG 
단어(585) : 사업장		품사 : NNG 
단어(586) : 삼강		품사 : NNG 
단어(587) : 交替一神敎		품사 : SH 
단어(588) : memory		품사 : SL 
단어(589) : 제인		품사 : NNP 
단어(590) : 피나		품사 : VV 
단어(591) : 이순열		품사 : NNP 
단어(592) : 딸딸이		품사 : NNG 
단어(593) : 한결		품사 : MAG 
단어(594) : 삼도리		품사 : NNP 
단어(595) : 건설부		품사 : NNG 
단어(596) : 진도표		품사 : NNG 
단어(597) : 등소평		품사 : NNP 
단어(598) : 꿇리		품사 : VV 
단어(599) : 苔		품사 : SH 
단어(600) : 참전		품사 : NNG 
단어(601) : 중홍어		품사 : NNG 
단어(602) : 마더보드		품사 : NNG 
단어(603) : 地球		품사 : SH 
단어(604) : 하룻밤		품사 : NNG 
단어(605) : 학과		품사 : NNG 
단어(606) : 삼가		품사 : VV MAG 
단어(607) : 고레스		품사 : NNP 
단어(608) : 삼각		품사 : NNG 
단어(609) : 종목		품사 : NNG 
단어(610) : 베란다		품사 : NNG 
단어(611) : 천박		품사 : NNG 
단어(612) : 갈근		품사 : NNG 
단어(613) : 갑골		품사 : NNG 
단어(614) : 정조		품사 : NNG NNP 
단어(615) : 푸조		품사 : NNP 
단어(616) : 하교		품사 : NNG 
단어(617) : 심호흡		품사 : NNG 
단어(618) : 라르스		품사 : NNP 
단어(619) : 로마노프		품사 : NNP 
단어(620) : 장현		품사 : NNP 
단어(621) : 윤창로		품사 : NNP 
단어(622) : 바버		품사 : NNP 
단어(623) : 비에이라		품사 : NNP 
단어(624) : 채운		품사 : NNP 
단어(625) : 옮아가		품사 : VV 
단어(626) : 반박		품사 : NNG 
단어(627) : 보고서		품사 : NNG 
단어(628) : 벌금		품사 : NNG 
단어(629) : 제작		품사 : NNG 
단어(630) : 유태력		품사 : NNG 
단어(631) : 주걱		품사 : NNG 
단어(632) : 처벌		품사 : NNG 
단어(633) : 주거		품사 : NNG 
단어(634) : 제자		품사 : NNG 
단어(635) : 창작		품사 : NNG 
단어(636) : 풀이		품사 : NNG 
단어(637) : 한계		품사 : NNG 
단어(638) : 표기법		품사 : NNG 
단어(639) : 채우		품사 : VV 
단어(640) : 일본인		품사 : NNG 
단어(641) : 끊어지		품사 : VV 
단어(642) : 제일		품사 : NNG 
단어(643) : 천민		품사 : NNG 
단어(644) : 피난		품사 : NNG 
단어(645) : 사업자		품사 : NNG 
단어(646) : 채용		품사 : NNG 
단어(647) : 참제		품사 : NNG 
단어(648) : 殉絶		품사 : SH 
단어(649) : 實戰		품사 : SH 
단어(650) : 휘두르		품사 : VV 
단어(651) : 外交部		품사 : SH 
단어(652) : 劉玄德		품사 : SH 
단어(653) : 대형		품사 : NNG 
단어(654) : 양심수		품사 : NNG 
단어(655) : 示唆		품사 : SH 
단어(656) : 메이페어		품사 : NNP 
단어(657) : 지방봉안		품사 : NNG 
단어(658) : 제재		품사 : NNG 
단어(659) : 조부		품사 : NNG 
단어(660) : 정종		품사 : NNG 
단어(661) : 할거		품사 : NNG 
단어(662) : 도지사		품사 : NNG 
단어(663) : 코리아리서치		품사 : NNP 
단어(664) : 학교		품사 : NNG 
단어(665) : 한곳		품사 : NNG 
단어(666) : 하구		품사 : JKB NNG JC XR 
단어(667) : 周小舟		품사 : SH 
단어(668) : 반발		품사 : NNG 
단어(669) : 반반		품사 : NNG 
단어(670) : 법관		품사 : NNG 
단어(671) : 사기		품사 : NNG 
단어(672) : 則通于約中諸員		품사 : SH 
단어(673) : 주검		품사 : NNG 
단어(674) : 갑과		품사 : NNG 
단어(675) : 애처로이		품사 : MAG 
단어(676) : 예상외		품사 : NNG 
단어(677) : 살구		품사 : NNG 
단어(678) : 서사시		품사 : NNG 
단어(679) : 빨치산		품사 : NNG 
단어(680) : 오륙십		품사 : NR 
단어(681) : 종묘		품사 : NNG 
단어(682) : 而金繪鳳		품사 : SH 
단어(683) : 삿갓		품사 : NNG 
단어(684) : 식품업		품사 : NNG 
단어(685) : 토끼띠		품사 : NNG 
단어(686) : grouping		품사 : SL 
단어(687) : 신청금		품사 : NNG 
단어(688) : 月印千江一體動		품사 : SH 
단어(689) : 케인즈		품사 : NNP 
단어(690) : 강택민		품사 : NNP 
단어(691) : 권토중래		품사 : NNG 
단어(692) : 공평아트센터		품사 : NNP 
단어(693) : 총격		품사 : NNG 
단어(694) : 지성소		품사 : NNG 
단어(695) : 정책관		품사 : NNG 
단어(696) : 숨소리		품사 : NNG 
단어(697) : 채취업		품사 : NNG 
단어(698) : 일본어		품사 : NNP 
단어(699) : 비분강개		품사 : NNG 
단어(700) : 갈기		품사 : VV 
단어(701) : 체류		품사 : NNG 
단어(702) : 神像		품사 : SH 
단어(703) : 풀장		품사 : NNG 
단어(704) : 편의주의		품사 : NNG 
단어(705) : 대화		품사 : NNG 
단어(706) : 상가		품사 : NNG 
단어(707) : 고려사		품사 : NNP 
단어(708) : 동반		품사 : NNG 
단어(709) : 중공업		품사 : NNG 
단어(710) : 재미나		품사 : VV 
단어(711) : 꼴찌		품사 : NNG 
단어(712) : 재해		품사 : NNG 
단어(713) : 꾸미		품사 : VV 
단어(714) : 장화		품사 : NNG 
